dataset,model,family,roc_auc,precision,recall,f1,fit_seconds,score_seconds,train_size,test_size,n_features,contamination,error
ring_outliers,PRR2NSA,clustering,0.999773,0.551724,1.0,0.711111,0.019551,0.000466,300,300,2,0.266667,
ring_outliers,DENSA,density,0.999943,0.551724,1.0,0.711111,0.004397,0.0005,300,300,2,0.266667,
ring_outliers,AntigenNSA,density,0.999943,0.555556,1.0,0.714286,0.004062,0.000525,300,300,2,0.266667,
ring_outliers,NSADE,optimization,0.999943,0.555556,1.0,0.714286,0.0056,0.000471,300,300,2,0.266667,
ring_outliers,NSAPSO,optimization,0.999943,0.551724,1.0,0.711111,0.006029,0.000455,300,300,2,0.266667,
ring_outliers,IORNSA,optimization,1.0,0.555556,1.0,0.714286,0.00564,0.000542,300,300,2,0.266667,
ring_outliers,BIORVNSA,inhibition,0.999943,0.547945,1.0,0.707965,0.004197,0.000534,300,300,2,0.266667,
ring_outliers,HNSAIDSA,hybrid,0.999943,0.551724,1.0,0.711111,0.001636,0.000542,300,300,2,0.266667,
ring_outliers,NSAII,hybrid,0.999943,0.551724,1.0,0.711111,0.001517,0.000507,300,300,2,0.266667,
ring_outliers,OALFBNSA,online/feedback,0.999943,0.555556,1.0,0.714286,0.001338,0.000536,300,300,2,0.266667,
ring_outliers,FBNSA,online/feedback,1.0,0.551724,1.0,0.711111,0.001315,0.000497,300,300,2,0.266667,
ring_outliers,MNSA,ensemble,0.999943,0.941176,1.0,0.969697,0.004262,0.001704,300,300,2,0.266667,
ring_outliers,NSNAD,feature-subspace,0.999943,0.551724,1.0,0.711111,0.001566,0.000508,300,300,2,0.266667,
ring_outliers,RENNSA,reduced-overlap,1.0,0.555556,1.0,0.714286,0.001921,0.000492,300,300,2,0.266667,
ring_outliers,AINSA,adaptive,1.0,0.555556,1.0,0.714286,0.005275,0.000499,300,300,2,0.266667,
ring_outliers,ODNSA,optimization,1.0,0.555556,1.0,0.714286,0.005854,0.000499,300,300,2,0.266667,
ring_outliers,CNSA,clustering,0.99983,0.551724,1.0,0.711111,0.023344,0.000475,300,300,2,0.266667,
ring_outliers,VORNSA,vectorized,1.0,0.555556,1.0,0.714286,0.001351,0.00045,300,300,2,0.266667,
local_density_bridge,BinaryNSA,binary/string,0.544886,0.0,0.0,0.0,0.003935,0.003998,300,300,2,0.266667,
local_density_bridge,RNSA,real-valued,1.0,0.503145,1.0,0.669456,0.001493,0.00052,300,300,2,0.266667,
local_density_bridge,RRNSA,real-valued,1.0,0.503145,1.0,0.669456,0.001329,0.00051,300,300,2,0.266667,
local_density_bridge,VDetector,v-detector,1.0,0.503145,1.0,0.669456,0.001393,0.000505,300,300,2,0.266667,
local_density_bridge,GridNSA,grid/matrix,0.894943,0.944444,0.6375,0.761194,0.000702,0.000475,300,300,2,0.266667,
local_density_bridge,GFRNSA,grid/matrix,0.833438,0.944444,0.6375,0.761194,0.000607,0.000452,300,300,2,0.266667,
local_density_bridge,MatrixNSA,grid/matrix,0.894091,0.944444,0.6375,0.761194,0.00065,0.000445,300,300,2,0.266667,
local_density_bridge,ANSA,adaptive,1.0,0.503145,1.0,0.669456,0.003869,0.000468,300,300,2,0.266667,
local_density_bridge,EvoSeedRNSA,optimization,1.0,0.503145,1.0,0.669456,0.005251,0.000461,300,300,2,0.266667,
local_density_bridge,ORNSA,boundary-aware,1.0,0.454545,1.0,0.625,0.001887,0.000584,300,300,2,0.266667,
